885,Query Response,,{},{},28,29,8,1,879,,{},{}
881,Greeting Response,,{},{},8,9,8,1,879,,{},{}
879,Intent,Used for intent recognition.,{},{},1,32,8,0,,,{},{}
397,clausal modifier of noun (adnominal clause),"",{https://universaldependencies.org/u/dep/acl.html},{},20,21,4,1,396,acl,{},"{'"ud'": '"acl'"}"
438,list,"",{https://universaldependencies.org/u/dep/list.html},{},58,59,4,1,396,list,{},"{'"ud'": '"list'"}"
421,unspecified dependency,"",{https://universaldependencies.org/u/dep/dep.html},{},124,125,4,1,396,dep,{},"{'"ud'": '"dep'"}"
877,Artifacts,"Man made things, such as statues, devices, even websites and apps",{},{},11,12,10,2,330,ARTIFACT,{},{}
876,Law,Named documents made into laws.,{},{},9,10,10,2,330,LAW,{},{}
831,manner,"X is carried out in Y(action, experience or process)",{},{},87,88,10,2,329,manner,{},{}
870,Documents,"Named documents, treaties, contract, letter.",{},{},17,18,10,2,330,DOCUMENT,{},{}
109,a work of human intelligence,,{},{},67,68,5,2,91,PROPN.WRK,{},"{'"ud'": '"PROPN.WRK'"}"
92,An animal,,{},{},71,72,5,2,91,PROPN.ANM,{},"{'"ud'": '"PROPN.ANM'"}"
623,Continuous Aspect,,{http://purl.org/linguistics/gold/ContinuousAspect},{},19,20,6,2,621,ContinuousAspect,"{'"Morphosemantic Property'"}",{}
627,Habitual Aspect,,{http://purl.org/linguistics/gold/HabitualAspect},{},29,30,6,2,621,HabitualAspect,"{'"Morphosemantic Property'"}",{}
637,Terminative Aspect,,{http://purl.org/linguistics/gold/TerminativeAspect},{},61,62,6,2,621,TerminativeAspect,"{'"Morphosemantic Property'"}",{}
865,Percentage,"Percentages including %, or formats such as 50/50.",{},{},39,40,10,2,330,PERCENT,{},"{'"ud'": '"PERCENT'"}"
830,state,X is a state of Y,{},{},99,100,10,2,329,state,{},{}
811,sub-topic,X(synset) is under topic of Y(synset),{},{},101,102,10,2,329,topic_domains,{},{}
854,Organization,,{},{},37,38,10,2,330,ORGANIZATION,{},"{'"ud'": '"ORG'"}"
878,Natural Phenomenon,"Storms, Disasters and other natural phenomenon",{},{},33,34,10,2,330,NAT,{},{}
859,Facility,"buildings, airports, bridges, etc.",{},{},21,22,10,2,330,FACILITY,{},"{'"ud'": '"FAC'"}"
886,Query Recommendation,Query one or more entities. filterable.,{},{},30,31,8,1,879,,{},{}
882,Courtesy Greeting,"Questions such as '"how are you?'", and '"how is it going?'".",{},{},16,17,8,1,879,,{},{}
880,Greeting,,{},{},6,7,8,1,879,,{},{}
636,Simultaneous Aspect,,{http://purl.org/linguistics/gold/SimultaneousAspect},{},59,60,6,2,621,SimultaneousAspect,"{'"Morphosemantic Property'"}",{}
684,Malefactive Case,,{http://purl.org/linguistics/gold/MalefactiveCase},{},133,134,6,2,649,MalefactiveCase,"{'"Morphosyntactic Relationship'"}",{}
699,Superlative Case,,{http://purl.org/linguistics/gold/SuperlativeCase},{},163,164,6,2,649,CASE:SUPERLATIVE,"{'"Morphosyntactic Relationship'"}","{'"ud'": '"Sup'"}"
777,Hearsay Evidentiality,,{http://purl.org/linguistics/gold/HearsayEvidentiality},{},223,224,6,2,771,HearsayEvidentiality,"{'"Morphosyntactic Relationship'"}",{}
640,Dubitive Mood,,{http://purl.org/linguistics/gold/DubitiveMood},{},337,338,6,2,165,DubitiveMood,"{'"Morphosemantic Property'"}",{}
641,Epistemic Modality,,{http://purl.org/linguistics/gold/EpistemicModality},{},339,340,6,2,165,EpistemicModality,"{'"Morphosemantic Property'"}",{}
176,Prp,,{},{},363,364,6,2,165,Prp,"{'"Morphosemantic Property'"}","{'"ud'": '"Prp'"}"
177,Qot,,{},{},365,366,6,2,165,Qot,"{'"Morphosemantic Property'"}","{'"ud'": '"Qot'"}"
739,Plain Middle Voice,,{http://purl.org/linguistics/gold/PlainMiddleVoice},{},676,677,6,3,871,PlainMiddleVoice,"{'"Morphosyntactic Relationship'"}",{}
887,Thanks,,{},{},24,25,8,1,879,,{},{}
883,Courtesy Greeting Response,,{},{},18,19,8,1,879,,{},{}
598,Immediate Past Tense,,{http://purl.org/linguistics/gold/ImmediatePastTense},{},583,584,6,2,589,ImmediatePastTense,"{'"Morphosemantic Property'"}",{}
602,Past Perfect Tense,,{http://purl.org/linguistics/gold/PastPerfectTense},{},597,598,6,2,589,PastPerfectTense,"{'"Morphosemantic Property'"}",{}
