309,polarity,"Polarity is typically a feature of verbs, adjectives, sometimes also adverbs and nouns in languages that negate using bound morphemes.",{https://universaldependencies.org/u/feat/Polarity.html},{},299,304,24,2,125,Polarity,Polarity,{}
112,auxiliary,"An auxiliary is a function word that accompanies the lexical verb of a verb phrase and expresses grammatical distinctions not carried by the lexical verb, such as person, number, tense, mood, aspect, voice or evidentiality. ",{https://universaldependencies.org/u/pos/AUX_.html},{},789,790,24,2,77,AUX,AUX,{}
403,adjectival modifier,"",{https://universaldependencies.org/u/dep/amod.html},{},815,816,24,2,396,amod,amod,{}
399,adverbial clause modifier,"",{https://universaldependencies.org/u/dep/advcl.html},{},817,818,24,2,396,advcl,advcl,{}
449,agent modifier,"",{https://universaldependencies.org/u/dep/obl-agent.html},{},821,822,24,2,396,obl:agent,obl:agent,{}
411,classifier,"",{https://universaldependencies.org/u/dep/clf.html},{},829,830,24,2,396,clf,clf,{}
412,compound,"",{https://universaldependencies.org/u/dep/compound.html},{},839,840,24,2,396,compound,compound,{}
828,positive beneficiary,X is advantaged  by Y,{},{},220,221,23,3,329,pos-beneficiary,,{}
623,Continuous Aspect,,{http://purl.org/linguistics/gold/ContinuousAspect},{},6,7,23,3,621,ContinuousAspect,,{}
417,conjunct,"",{https://universaldependencies.org/u/dep/conj.html},{},841,842,24,2,396,conj,conj,{}
627,Habitual Aspect,,{http://purl.org/linguistics/gold/HabitualAspect},{},16,17,23,3,621,HabitualAspect,,{}
598,Immediate Past Tense,,{http://purl.org/linguistics/gold/ImmediatePastTense},{},118,119,23,3,589,ImmediatePastTense,,{}
605,Post Hodiernal Future Tense,,{http://purl.org/linguistics/gold/PostHodiernalFutureTense},{},138,139,23,3,589,PostHodiernalFutureTense,,{}
607,Present Perfect Tense,,{http://purl.org/linguistics/gold/PresentPerfectTense},{},146,147,23,3,589,PresentPerfectTense,,{}
850,Event,the changing of attributes or relations.,{},{},241,242,23,2,327,,,{}
413,light verb construction,"",{https://universaldependencies.org/u/dep/compound-lvc.html},{},869,870,24,2,396,compound:lvc,compound:lvc,{}
843,Interrogative,asking a question(Yes/NO - WH questions),{},{},7,8,24,2,842,,,{}
847,exclamative,Often ending in (!),{},{},9,10,24,2,842,,,{}
432,fixed multiword expression,"",{https://universaldependencies.org/u/dep/fixed.html},{},857,858,24,2,396,fixed,fixed,{}
202,Bantu22,,{},{},204,205,24,3,180,Bantu22,Bantu22,{}
849,Expressed Condition,Condition expressed by verb first order,{},{},11,12,24,2,842,,,{}
414,phrasal verb particle,"",{https://universaldependencies.org/u/dep/compound-prt.html},{},907,908,24,2,396,compound:prt,compound:prt,{}
415,reduplicated compounds,"",{https://universaldependencies.org/u/dep/compound-redup.html},{},921,922,24,2,396,compound:redup,compound:redup,{}
659,Contablative Case,,{http://purl.org/linguistics/gold/ContablativeCase},{},386,387,24,3,649,ContablativeCase,,{}
804,First Person Inclusive,,{http://purl.org/linguistics/gold/FirstPersonInclusive},{},606,607,24,3,797,FirstPersonInclusive,,{}
806,Negative Polarity,,{http://purl.org/linguistics/gold/NegativePolarity},{},618,619,24,3,805,NegativePolarity,,{}
276,Sbl,,{},{},92,93,24,3,243,Sbl,Sbl,{}
194,Bantu14,,{},{},186,187,24,3,180,Bantu14,Bantu14,{}
322,Infm,,{},{},312,313,24,3,318,Infm,Infm,{}
264,Add,,{},{},42,43,24,3,243,Add,Add,{}
277,Spl,,{},{},94,95,24,3,243,Spl,Spl,{}
280,Ter,,{},{},102,103,24,3,243,Ter,Ter,{}
138,gender,"Gender is usually a lexical feature of nouns and inflectional feature of other parts of speech (pronouns, adjectives, determiners, numerals, verbs) that mark agreement with nouns.",{https://universaldependencies.org/u/feat/Gender.html},{},163,172,24,2,125,Gender,Gender,{}
190,Bantu10,,{},{},178,179,24,3,180,Bantu10,Bantu10,{}
811,sub-topic,X(synset) is under topic of Y(synset),{},{},224,225,23,3,329,topic_domains,,{}
829,negative beneficiary,X is disadvantaged by Y,{},{},214,215,23,3,329,neg-beneficiary,,{}
812,in topic,X(synset) is in topic of Y(synset),{},{},184,185,23,3,329,in_topic_domains,,{}
813,is used in,X(synset) is used in Y(synset) region,{},{},204,205,23,3,329,region_domains,,{}
815,linguistically is a,X(synset) linguistically is a Y(synset),{},{},208,209,23,3,329,usage_domains,,{}
609,Recent Past Tense,,{http://purl.org/linguistics/gold/RecentPastTense},{},150,151,23,3,589,RecentPastTense,,{}
